sample_id,relative_file,source_filename,classification,source_group,annotation_status,training_ready,glyph_sequence,expected_ko,width_px,height_px,sha256,license_id,notes
prt_src0001_img000001,datasets/printed/raw/images/prt_src0001_img000001.webp,fELrCB.webp,printed,digital-phrase-01,transcribed_pending_review,false,ㅁ ㅗ ㄷ ㅡ ㄴ ㄱ ㅓ ㅅ ㅇ ㅡ ㄴ ㅋ ㅏ ㅇ ㅔ ㄹ ㄹ ㅜ ㅁ ㅇ ㅡ ㅣ ㄷ ㄷ ㅡ ㅅ ㄷ ㅐ ㄹ ㅗ,모든 것은 카엘룸의 뜻대로,884,477,785d39602267da09d071019db451139e112f75310321c8b1ffa1559e8d474523,user_confirmed_training_allowed,대응표로 4행을 전사함. 된소리 '뜻'은 원문 글리프대로 ㄷ ㄷ을 연속 기록했으며 최종 정답 확인이 필요함. 사용자가 OCR 학습 사용을 허용함
prt_src0002_img000002,datasets/printed/raw/images/prt_src0002_img000002.jpeg,G_LhqnFWMAARAxn.jpeg,printed,quiz-sheet-01,transcribed_confirmed,true,ㄱ ㅣ ㄷ ㅏ ㄹ ㅣ ㄹ ㄱ ㅔ,기다릴게,2048,1536,79361718aac832712561f9b7d1bdf5563525073aee0d057591e00d7b4ad3762a,user_confirmed_training_allowed,사용자가 정답을 '기다릴게'로 확인했고 OCR 학습 사용을 허용함
prt_src0003_img000003,datasets/printed/raw/images/prt_src0003_img000003.jpeg,KakaoTalk_Image_2026-08-15-20-12-32_002.jpeg,printed,digital-phrase-02,transcribed_pending_review,false,ㅁ ㅗ ㄷ ㅡ ㄴ ㄱ ㅓ ㅅ ㅇ ㅡ ㄴ ㅋ ㅏ ㅇ ㅔ ㄹ ㄹ ㅜ ㅁ ㅇ ㅡ ㅣ ㄷ ㄷ ㅡ ㅅ ㄷ ㅐ ㄹ ㅗ,모든 것은 카엘룸의 뜻대로,1480,1080,1475bf1ffe6ba4050ed0ec7a4dae9ca794c8c5e69e213f9f17fe29e1ec5df33c,user_confirmed_training_allowed,2행 문장을 대응표로 전사함. prt_src0001과 같은 문장으로 판독했으며 최종 정답 확인이 필요함
prt_src0004_img000004,datasets/printed/raw/images/prt_src0004_img000004.jpeg,KakaoTalk_Image_2026-08-15-20-12-41_001.jpeg,printed,printed-label-01,transcribed_pending_review,false,ㅁ ㅗ ㄷ ㅡ ㄴ ㄱ ㅓ ㅅ ㅇ ㅡ ㄴ ㅋ ㅏ ㅇ ㅔ ㄹ ㄹ ㅜ ㅁ ㅇ ㅡ ㅣ ㄷ ㄷ ㅡ ㅅ ㄷ ㅐ ㄹ ㅗ,모든 것은 카엘룸의 뜻대로,943,367,f2ccd713b5e3546ca24157e187c693a8f06b993a0c0333794891df0f23ad0de0,user_confirmed_training_allowed,prt_src0001과 같은 문장으로 판독함. 사용자가 OCR 학습 사용을 허용했으며 외부 공개·재배포는 별도 검토함
prt_src0005_img000005,datasets/printed/raw/images/prt_src0005_img000005.jpeg,KakaoTalk_Image_2026-08-15-20-12-41_002.jpeg,printed,printed-page-01,analyzed_review_required,false,,,1600,1886,0fa172f35292d6bc786b280ca608dbb7523967bd1191d6180968e80b3ecee54f,user_confirmed_training_allowed,장문·라틴 문자·문장부호 혼합 자료. 상단에서 '그들은 스타시드들로부터 생명을 얻어 테라와 아스테룸 사이의 균열을 오가며 활동했어요. 그 과정에서 아낌없이 플레이브를 사랑해주는 PLLI라는 소중한 존재도 만나게 되었지요.' 후보를 판독했으나 전체 이미지 정답이 아니므로 행별 crop과 원문 대조가 필요함
prt_src0006_img000006,datasets/printed/raw/images/prt_src0006_img000006.jpeg,KakaoTalk_Image_2026-08-15-20-12-47_002.jpeg,printed,digital-capture-01,analyzed_review_required,false,,,1080,354,dc77b569a7f22f4eba8a83d82ffaba924b74da816318b74f1f3c0c14f00df527,user_confirmed_training_allowed,아스테룸어 2행 중 둘째 행은 '모든 것은 카엘룸의 뜻대로'와 일치함. 첫째 행 정답이 남아 있어 전체 전사는 확정하지 않음
prt_src0007_img000007,datasets/printed/raw/images/prt_src0007_img000007.jpeg,KakaoTalk_Image_2026-08-15-20-12-47_003.jpeg,printed,digital-capture-02,transcribed_pending_review,false,"ㄱ ㅡ ㄴ ㄷ ㅔ ㅇ ㅣ ㄱ ㅓ ㅈ ㅣ ㄴ ㅈ ㅈ ㅏ
ㄱ ㅣ ㅂ ㅗ ㄴ ㅁ ㅏ ㄴ ㄴ ㅓ ㅎ ㅇ ㅓ ㄴ ㅗ ㅏ ㅅ ㅓ
ㅌ ㅏ ㅈ ㅏ ㅊ ㅣ ㄱ ㅣ
ㅇ ㅓ ㅁ ㅊ ㅓ ㅇ ㅂ ㅜ ㄹ ㅍ ㅕ ㄴ ㅎ ㅏ ㅂ ㄴ ㅣ ㄷ ㅏ","근데 이거 진짜
기본만 넣어놔서
타자치기
엄청 불편합니다",1200,698,426a42449bdbcdbe464d6c0f80b0d7dacfe144131f1dc83c459ec951ba38f567,user_confirmed_training_allowed,"4행을 대응표로 전사함. 붙어 있는 ㄱ+ㅓ, ㅈ+ㅈ, ㅗ+ㅏ는 개별 자모 token으로 분리했으며 최종 정답 확인이 필요함"
prt_src0008_img000008,datasets/printed/raw/images/prt_src0008_img000008.png,KakaoTalk_Image_2026-08-15-20-12-33_004.jpeg#left-page,printed,diary-session-03-printed-reference,review_required,false,,,1024,1439,52074311e27bbcbe252289c9d09772789f504e836c6714e39efeb2f172c47074,user_confirmed_training_allowed,혼합 원본의 왼쪽 인쇄 페이지를 무손실 PNG로 분리함. 단어 예시별 crop과 전사가 필요함
hwr_w0001_s0001_img000001,datasets/handwriting/raw/images/hwr_w0001_s0001_img000001.jpeg,KakaoTalk_Image_2026-08-15-20-12-32_001.jpeg,handwriting,diary-session-01-writer-01,analyzed_review_required,false,,,722,1024,0740ae7692fb8a08e65d32d00672a212d5d07051571fc33695ece5b5b73d6325,user_confirmed_training_allowed,격자 앞부분은 '오늘은 돈까스를 먹었다.'로 판독함. 나머지 행의 정답이 불확실해 전체 전사는 비워 둠. 같은 페이지의 고해상도 파생본과 동일 group 유지
hwr_w0001_s0001_img000004,datasets/handwriting/raw/images/hwr_w0001_s0001_img000004.png,GNQoMNBbQAAqKBj.jpeg#left-page,handwriting,diary-session-01-writer-01,analyzed_review_required,false,,,1024,1511,7bbb32f6c18eb8a4c9d468216db08a2743960c4d3c7471defdfe8d12e9508171,user_confirmed_training_allowed,review_src0001의 왼쪽 페이지를 분리한 고해상도 파생본. hwr_w0001_s0001_img000001과 같은 작성자·내용이므로 같은 group과 정답을 사용해야 함
